crim,nox,rm,ptratio,lstat,medv
0.00632,0.538,6.575,15.3,4.98,24
0.02731,0.469,6.421,17.8,9.14,21.6
0.02729,0.469,7.185,17.8,4.03,34.7
0.03237,0.458,6.998,18.7,2.94,33.4
0.06905,0.458,7.147,18.7,5.33,36.2
0.02985,0.458,6.43,18.7,5.21,28.7
0.08829,0.524,6.012,15.2,12.43,22.9
0.14455,0.524,6.172,15.2,19.15,27.1
0.21124,0.524,5.631,15.2,29.93,16.5
0.17004,0.524,6.004,15.2,17.1,18.9
0.22489,0.524,6.377,15.2,20.45,15
0.11747,0.524,6.009,15.2,13.27,18.9
0.09378,0.524,5.889,15.2,15.71,21.7
0.62976,0.538,5.949,21,8.26,20.4
0.63796,0.538,6.096,21,10.26,18.2
0.62739,0.538,5.834,21,8.47,19.9
1.05393,0.538,5.935,21,6.58,23.1
0.7842,0.538,5.99,21,14.67,17.5
0.80271,0.538,5.456,21,11.69,20.2
0.7258,0.538,5.727,21,11.28,18.2
1.25179,0.538,5.57,21,21.02,13.6
0.85204,0.538,5.965,21,13.83,19.6
1.23247,0.538,6.142,21,18.72,15.2
0.98843,0.538,5.813,21,19.88,14.5
0.75026,0.538,5.924,21,16.3,15.6
0.84054,0.538,5.599,21,16.51,13.9
0.67191,0.538,5.813,21,14.81,16.6
0.95577,0.538,6.047,21,17.28,14.8
0.77299,0.538,6.495,21,12.8,18.4
1.00245,0.538,6.674,21,11.98,21
1.13081,0.538,5.713,21,22.6,12.7
1.35472,0.538,6.072,21,13.04,14.5
1.38799,0.538,5.95,21,27.71,13.2
1.15172,0.538,5.701,21,18.35,13.1
1.61282,0.538,6.096,21,20.34,13.5
0.06417,0.499,5.933,19.2,9.68,18.9
0.09744,0.499,5.841,19.2,11.41,20
0.08014,0.499,5.85,19.2,8.77,21
0.17505,0.499,5.966,19.2,10.13,24.7
0.02763,0.428,6.595,18.3,4.32,30.8
0.03359,0.428,7.024,18.3,1.98,34.9
0.12744,0.448,6.77,17.9,4.84,26.6
0.1415,0.448,6.169,17.9,5.81,25.3
0.15936,0.448,6.211,17.9,7.44,24.7
0.12269,0.448,6.069,17.9,9.55,21.2
0.17142,0.448,5.682,17.9,10.21,19.3
0.18836,0.448,5.786,17.9,14.15,20
0.22927,0.448,6.03,17.9,18.8,16.6
0.25387,0.448,5.399,17.9,30.81,14.4
0.21977,0.448,5.602,17.9,16.2,19.4
0.08873,0.439,5.963,16.8,13.45,19.7
0.04337,0.439,6.115,16.8,9.43,20.5
0.0536,0.439,6.511,16.8,5.28,25
0.04981,0.439,5.998,16.8,8.43,23.4
0.0136,0.41,5.888,21.1,14.8,18.9
0.01311,0.403,7.249,17.9,4.81,35.4
0.02055,0.41,6.383,17.3,5.77,24.7
0.01432,0.411,6.816,15.1,3.95,31.6
0.15445,0.453,6.145,19.7,6.86,23.3
0.10328,0.453,5.927,19.7,9.22,19.6
0.14932,0.453,5.741,19.7,13.15,18.7
0.17171,0.453,5.966,19.7,14.44,16
0.11027,0.453,6.456,19.7,6.73,22.2
0.1265,0.453,6.762,19.7,9.5,25
0.01951,0.4161,7.104,18.6,8.05,33
0.03584,0.398,6.29,16.1,4.67,23.5
0.04379,0.398,5.787,16.1,10.24,19.4
0.05789,0.409,5.878,18.9,8.1,22
0.13554,0.409,5.594,18.9,13.09,17.4
0.12816,0.409,5.885,18.9,8.79,20.9
0.08826,0.413,6.417,19.2,6.72,24.2
0.15876,0.413,5.961,19.2,9.88,21.7
0.09164,0.413,6.065,19.2,5.52,22.8
0.19539,0.413,6.245,19.2,7.54,23.4
0.07896,0.437,6.273,18.7,6.78,24.1
0.09512,0.437,6.286,18.7,8.94,21.4
0.10153,0.437,6.279,18.7,11.97,20
0.08707,0.437,6.14,18.7,10.27,20.8
0.05646,0.437,6.232,18.7,12.34,21.2
