EmployeeID,Department,Region_Employment,Education Level,Gender,Recruitment Channel,NO_Trainings_LstYear,Age,previous_year_rating,Service Length,Awards,Avg_Training_Score,Is Promoted
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35.0,5.0,8,NO,49.0,NO
65141,Operations,region_22,Bachelor's,m,other,1,30.0,5.0,4,NO,60.0,NO
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34.0,3.0,7,NO,50.0,NO
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39.0,1.0,10,NO,50.0,NO
48945,Technology,region_26,Bachelor's,m,other,1,45.0,3.0,2,NO,73.0,NO
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31.0,3.0,7,NO,85.0,NO
20379,Operations,region_20,Bachelor's,f,other,1,31.0,3.0,5,NO,59.0,NO
16290,Operations,region_34,Master's & above,m,sourcing,1,33.0,3.0,6,NO,63.0,NO
73202,Analytics,region_20,Bachelor's,m,,1,28.0,4.0,5,NO,83.0,NO
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32.0,5.0,5,NO,54.0,NO
29934,Technology,region_23,,m,sourcing,1,30.0,,1,NO,77.0,NO
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35.0,5.0,3,NO,50.0,YES
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49.0,5.0,5,NO,49.0,NO
38401,Technology,region_29,Master's & above,m,other,2,39.0,3.0,16,NO,80.0,NO
77040,R&D,region_2,Master's & above,m,sourcing,1,37.0,3.0,7,NO,84.0,NO
43931,Operations,region_7,Bachelor's,m,,1,37.0,1.0,10,NO,60.0,NO
7152,Technology,region_2,Bachelor's,m,,1,38.0,3.0,5,NO,77.0,NO
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34.0,1.0,4,NO,51.0,NO
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34.0,5.0,8,NO,46.0,NO
54461,Operations,region_15,Bachelor's,m,,1,37.0,3.0,9,NO,59.0,NO
12067,Procurement,region_14,Bachelor's,m,other,1,35.0,3.0,7,NO,75.0,NO
